title,rating,body,date
A healthier way to relish fried food!,5.0,"Does the job as advertised. We tried preparing large pieces of chicken with minimal oil and within 11-12 mins it was fried like it was made tandoor, Frozen Fries take 6-7 mins.Looks elegant in Red, enhancing the kitchens aesthetics.The variety of preselect options give you ease of selections. The preheating sometimes may feel like a time waste but hey you’re getting healthier with almost similar taste to oil fried food.Love the addition.",1 August 2020
Large size is spacious & essential. Useful! Recommend! No user manual. unprofessional.,4.0,"Pros- Till now doing its job well. Spacious compared to others, can cook a whole pizza too. Roasts & bakes too. Looks good.Recommend bigger size, much more useful for larger portions.Cons - User manual not included so figuring out temperatures & duration myself.Timer function default set to 10 mins. Most things I cook require a 4-6 minute operation (implying too many taps to reduce time in to 4/5 minutes).",2 October 2020
"Good, but not bad",4.0,"Overall Appliance is good, i would say it is better than Philips or Prestige, the Operation is smooth and easy, it has built in functions for barbeque, deep fry and to bake.Pros.1.Very easy to operate2.Has some preloaded functions3.Full digital control4.Barbeque grill is also provided5.Very low Noise operationCons.1.Very heavy2.Heat dissipation could be better3.Not that rigid handlesOverall it is best for those who are new to air frying world, and those who want to experiment their style of cooking",16 July 2020
Pathetic After sales Service,1.0,Machine got faulty in 1 year J am based in Mumbai but Company telling to send machine to Delhi for repairs!!!. This was not disclosed at time of purchase by Amazon or Company. Buy branded like Phillips etc Atleast we will get service. This is patheticAvoid this Stok company even if they give free,26 November 2020
Amazing Product,5.0,The product is just as described. Super fast delivery. Works like a charm. Oil free cooking for a healthy living. Compared to other Air Fryers that I've used in the past this is the best. Would certainly recommend purchasing the product.,30 May 2020
Worth for Money,5.0,"I was looking for an Airfryer and reading many reviews and ratings for different brands. Finally, I chose this one as it had a capacity of 4L and was coming for a reasonably fairer price. Its been 2 months I am using this and it's doing great. The only thing that bothers me is non-veg sticks to the bottom of the pan. But it can be easily cleaned by just soaking it in water.  I have cooked zero oil Fish and chicken fry in it, which exactly tastes like deep-fried ones. It also has few presets which make things easy. If someone is looking for a good air fryer in a decent price, this is the one.",29 July 2020
Awesome and useful,5.0,"I liked this Stok air fryer because it replaces oil and fries using air. And it is useful when it has different ways to adjust the food we keep in through those 4 or 5 categories which are chips , mutton, shrimps and fish.",15 January 2020
Stopped working in second use,1.0,"Stopped working within two months. In second use, it is not getting turn on. Asked customer care. They told that onsite warranty is not available. Customer have to borne the shipping the product for servicing purpose.",21 December 2020
Usage instructions,3.0,The product is giving usage instructions only for Western style dishes. It would be helpful if they gave instructions and recipes for Asian and Indian cuisine.,29 January 2020
Decent Air fryer at modest rate by stok,4.0,"Turned to be quite decent after 1 day use, I tried preparing 🐠🐋🐟 and it turned out as I was expecting, it was quite crispy without any oil... Decent Product can go for it",3 November 2019
Nice product.,4.0,The air fryer appears good. I own the Philips air fryer as well. Stok air fryer is a bit lighter but is good. There is proper design to let hot air blow in from side ways which helps frying.Nice product on the whole,25 January 2021
Works as expected,5.0,"Working very well. Used for a month. Used it to make samosa, french fries, broccoli and heat up outside food-it gets crispy and fresh",4 February 2021
Pathetic don't buy,1.0,"The product is pathetic , it doesn't on, and call center guys say courrier it to delhi, within 15days the product has stopped functioning..Why can't you guys give a refund immediately, when the issue is in product",7 August 2020
Worth the price,4.0,Well the air fryer is worth the cost and price. This one takes longer to cook and to adjust and that may have to do with Fan Speed which i believe is a bit on lower side. Overall good purchase considering the price.,2 February 2021
Bad product.,1.0,It doesn’t evenly cook everything.,23 July 2020
Super Performence,5.0,"Value for money, used it couple of time for Tandoori chicken with pretty less oil in it. Best for grilled chicken and Kabab.",24 February 2020
Must buy,5.0,Product is easy to use and have enough space inside and have many saved programmes,13 September 2020
Awesome product,5.0,Extremely user friendly and easy to use! Saves time and good frying,14 March 2021
Its a marvelous purchase,5.0,Its a worthfull product its more amazing than its competitors . I really like this product. It will be a  healthy decision  for your good health to buy this.Gurmeet Singh  Batra,19 June 2020
SATISFIED,5.0,Fully satisfied with this product and it also helps to reduce cholesterol level and keeps healthy ..i recommend it to buy this product ..there should be tieup required  with local service in chandigarh,4 January 2020
Very good Air fryer go for it...,5.0,Made  Chicken 65 & fried onions in this n both of them tasted exactly as if we fried it in oil except without using any oil at all... this is very useful for me in my diet...,2 January 2021
Best buy,5.0,"Best buy, hassle free cooking. Various tutorials are available online to learn culinaries.No noiseEasy buttonsColor nice",10 June 2020
Good buy,5.0,Easy to use and healthy option too,9 March 2021
MUST BUY,5.0,Worth the buy. Perfect frying experience sans a single drop of oil.,28 February 2021
Great product.,5.0,Really amazing product! Easy to use and very compact piece for your kitchen. The food is 100% healthy and delicious after using this product.,16 January 2021
Good but paint inside  the bucket bad,4.0,"Paint of basket in air fryer is not of good quality,",26 March 2021
nice machine,5.0,its good to cook with air,1 December 2019
EXCELLENT N SUPERB,5.0,REGARDING STOK AIR FRYER  IS VERY USEFUL AND GOOD ONE AND GIVEN VERY  TASTY FOOD AND WITH QUICK WORKING. I RECOMMENDED AND WE BOUGHT 4 NOS IN OUR FAMILY GOOD ONE AND PRICE ALSO GOOD.,4 January 2020
Think again,1.0,Did not even get switched on. Have to return.,31 December 2020
"Fast, Reliable",4.0,Absolutely great for daily use and good variety of options to cook fast especially without oil.👍✌️,23 August 2020
Very flimsy,2.0,Disappointing very flimsy and takes a long time to fry french fries.,10 March 2020
Durability is not good,3.0,"It is a very easy to use product. But within 2 months, the paint of the fryer pan started to come off and it looks like it has started rusting.",17 October 2020
Amaizing SToK,5.0,Good working..best product at this prize.,22 October 2019
Air fryer is very useful.,5.0,"We liked the item.  Very useful and time savy.  We fried chicken, prawns with little oil. It was crisp & yummy.",1 February 2021
healthy cooking,5.0,satisfied,1 August 2020
Good,4.0,Good Product,1 March 2020
Superb,5.0,I am really Happy with this product,4 December 2019
Don't buy,1.0,"Don't buy, this consumes lot of current and normally when I use it, the fuse breaks in my home",24 February 2021
Good product,5.0,Value for money,9 March 2020
Service,4.0,Product is good but service issue not in on site ..Only Delhi,19 January 2020
Good easy to use,4.0,"Good product,  price is at little higher side",22 October 2020
its a overall good product.,4.0,Power supply cord can be a bit lengthy. Aesthetically very good also performs well.,8 January 2021
How to clean on top of the machine from inside.,4.0,Like the product a lot. No sound when it's on.  Temperature is even all around.,25 December 2020
Good,5.0,Good one,25 January 2020
Wonderful product for health conscious.,5.0,Very nice product. Easy to use. Liked it very much. Cooking time is very convenient.,1 April 2021
Installation required,2.0,Need installation and product using guide line.,28 October 2019
Worth the Wait,5.0,I like the fact that I can finally cook Healthy Food for my Family,30 March 2021
Frying with a difference.,5.0,The works well.Frying possible without adding a  drop of oil.,18 November 2019
Great,5.0,I really like it. Been roasting veggies in it and they taste amazing.,18 March 2020
Value for money,4.0,Instead of grill you must provide heat resistant gloves,18 July 2020
Good looking and smart product,5.0,Happy and fully satisfied with performance,1 November 2019
Good product,5.0,Worth buy,31 January 2021
Great product,5.0,Great,22 October 2019
Good Product,4.0,Good,29 August 2020
Oil free,4.0,Saves lot of oil,6 July 2020
"Healthiest option , must buy",5.0,Awesome product..,29 July 2020
Nice and worth it,5.0,Good product 👌 and very useful,30 May 2020
Value for money,5.0,Good product. Value for money.,16 January 2020
Nice product,4.0,Nice product at this price point. Happy to buy,4 January 2020
Super taste,5.0,"Super, no fat ,no oil .",12 June 2020
Very good,4.0,Worth spending,15 June 2020
Nice item,5.0,Good product quality and great value,24 February 2020
Good purchase,4.0,Good purchase,31 January 2020
superb,5.0,Nice product,3 June 2020
Satisfied,5.0,Satisfied,10 January 2020
One of my best buys,5.0,Easy to use,8 March 2020
Easy Peasy Lemon Squeezy. Fantastic product.,5.0,"It is pretty much easy to use. Not confusing at all. I have been using it for some time now and am happy with the performance. It was a lifesaver for me during the lockdown as I can't cook to save my life. But with Stok Airfryer, all I had to do was to chuck in whatever I liked be it sausages, salamis, mom's whatever and it would come out in 5-10 minutes flat. I recommend it to everyone.",8 October 2020
They ONLY provide Off-Site Service,2.0,"Off-site service, which means if you face any issues you will have to send the fryer to their factory in New Delhi, and YOU will have to bear the charges for transportation.Kindly consider this point and invest in Havells or Philips, who have on-site service options available.",14 July 2020
Best product,5.0,Very good product,13 September 2019
Good but not perfect,1.0,Good but not perfect,1 June 2020
Must buy,5.0,Delivered on time. Great packing. Its a very good looking air fryer. Just put in smileys to try it. They came out fantastic and that too NO oil. Made chicken tikkas yesterday. Came out very well. Really thank you Stok.,13 July 2020
Pathetic service support,1.0,"Company does not provide local service support. They are asking customer to bear shipping charges for repair purposes, feels cheated. Also product overall is of average quality and performance.",26 November 2020
Amazing air fryer,5.0,Perfect  french fries,18 June 2020
Best air fryer in this price range,5.0,Really good product in this price range. Easy to use and we can make more veg food. Prepare healthy testy food🍴🍕🍔,9 January 2021
It's Great!,5.0,It's great for home parties! It's easy to use and a great asset to ones home. Not to mention how healthy it is.,24 February 2021
Product only looks good,2.0,The switch panel not in proper condition,29 October 2019
Like products,5.0,Vest stok air fryer machine,3 August 2020
Amazing.!!!!,5.0,Brilliant product 👌💯👏👍👌👌👌,3 October 2019
Find place for this wonderful kitchen companion... especially if you love to cook!,4.0,"we received this on December 25. and I had already seen a lot of videos on how-to use it. also purchased some accessories like separation Stand, barbecue skewers Non stick pan, etc. for one month from that day... I have only been cooking and heating and thawing in it.we don't use the microwave oven... we use conventional oven. and now I am not using the induction also.if you have kids then just for making fryums type snacks and McCain frozen foods... this is more than worth it.I took this machine to my nephew's birthday party and grilled some chicken for him as a gift. and he loved it.Chicken dishes, grilled paneer, pizzas, converting rotis to khakras, roasting nuts... and the best item of all... fried bhindis and broccoli! we also made Falafels in it.I settled on This StoK machine cause it seemed to be the largest.I would have preferred manual rotating dials for controls, rather than the touch panel type. Because our experience is that these panels eventually spoil.So I put a wide cellophane tape on it hoping it will protect the mebrane.I also bought extra one year policy from Amazon.but for this price it's a sweet deal... it it lasts two years I'm Happy! I have also dropped the inner pan once because of pressing the locking button accidentally. be careful with that.I don't usually write here but I think those who are confused should feel confident and get it.Get rid of some other items in the kitchen,  of keep it in the balcony. I actually only had space in the bedroom... so that's where it is. If we're cooking a lot of messy things then we bring it dowstairs to the kitchen.I keep a cloth and then place it over the induction stove as it is quite light.",1 March 2020
Nice at this price 4600,4.0,Product is fine....capacity is 4lt at this price is amazing... but product plastic should be better...mine one is creating some fan blade noise.... amazon created a replacement for me..let me c ... thanx amazon,12 October 2019
SToK air fryer review,4.0,The product is as advertised.I'll add another star once we become more familiar with working as the user manual primarily deals with western dishes.But IAM sure it is value for money,24 March 2020
Good for price,4.0,"Yes, I got the goodone for the price. But want to know which Indian recipe can be cooked... It will be add on..... Please if I can get Indian recipes book 📙 it would be great.",2 January 2020
Value for money,5.0,Super experience and amazing design. Cheapest brand in this segment. 2 year warranty would make it the best,22 November 2019
Value for money,5.0,Easy to use product..one can cook almost all kind dishes which needs tandoor or otg oven,21 August 2020
I am a chef now .,5.0,"Awesome, fantastic, easy.  Electricity is a concern.  Otherwise this is amazing",13 September 2020
Value for money,5.0,Recieved on time and product is working good value for Money better then other brand like Wonderchef.,17 June 2020
Nice product working perfectly fine.,5.0,Nice product working perfectly fine.,9 February 2020
Amazing product,5.0,Amazing product,15 February 2021
Nice product,4.0,"built is good, easy to use and handle, nice product👍👌",24 September 2020
