title,rating,body,date
DAMM GOOD FOR THE PRICE POINT!!!!,5.0,Used an air fryer for the first time in my entire life and was amazed to see what i was missing out on ...tried to cook some french fries  and chicken tandoori today and to my surprise both came out super delicious and pretty much cookedmoreover i managed to deep fry them by using 83% less oil.totally recommended!!!!,3 August 2017
Worst Warranty Service,2.0,"Warranty service are pathetic. I have following up for the past month for warranty repair and there is no response from American Micronics. Product is good, bt don't expect any support from American Microns for service and repair. buy at your own risk",18 April 2019
basket and handle are not the best,3.0,"Although it's an affordable air-fryer, I would like to point out some cons after a year of usage. As everyone has pointed out the basket paint scrapes off after regular use. Secondly, given it's size the handle is not proportional and as a result my handle is now broken! the screw has come out and I have not been able to put it bac in place. I hope I can contact customer service for the spare part!",7 May 2020
great product.,5.0,great product.....recipes needed a bit of modification and we had to re-train ourselves a bit to get the optimum results....good cooking implement for those trying to avoid/reduce fat content of various daily items of food/snacks....!!  the 3.5l capacity of the bin and the 1500w power level were the main decisive points in its favour....,7 November 2017
Received defective piece,1.0,After many days of search found that american-micronic  air fryer is having a good review but unfortunately i delivered with a defective piece . Waiting for the replacement .New one didn't switch on itself  . May be defective piece or packaging issue ---> waiting for response,29 March 2019
Easy to use and hardly noticeable sound,4.0,"We hardly feel the noise. Very easy to use. On whatsapp, sent amessage and promptly got the recipe book. Triend French fries, smileys and rolls. They came out nice.",5 May 2020
The best product that every kitchen should have,5.0,An excellent product. I'm wondering why I did not ever use this fantastic product earlier. Something that one should have and can purchase closing their eyes,25 August 2017
A must for every kitchen,5.0,"Have bn using it for over a week one can name any recipe and it can prepare it in a hiffy sturdy and tuff it is hvnt stopped hving garlic breads,pizzaz,french fries 🍟 rotis and nans super awesome product",19 June 2017
Must buy Don't go for big brands and fancy cosmetics...,4.0,"Basic model of the Air Fryer...No presets No digital panel...But yes easy to use, lightweight and easy to clean...The only drawback is.. Not coming with any recipe book.. So you have to search it on internet or use your senses for cooking... But it good...Works well... I have read the reviews for other brands complaining about crispy fries... But here it is well cooked and crisps like McD... So m lovin it... Must buy...",1 June 2020
Please be note air fryer pan is not fitting properly ...,4.0,"Please be note air fryer pan is not fitting properly,  Please fix it or. Replace.American Micronic team replaced successfully",14 November 2017
The product is just awesome cooks anything without oil,5.0,If u are a health conscious person this is jus for u and best for gymers u know doesn’t need oil at all to cook anything 👍👍👍 I jus love it,2 July 2018
Worth buying it,5.0,"Very good products indeed. We were looking for some other brands but post reading reviews, we selected this one and don't regret our decision. Easy to handle and not much of tension to use. Getting used to it. Kids are happy to get their french fries etc. whenever they want now... Good one. Thanks",5 September 2017
Simply Must for health cautious...,5.0,"Simply Must for health cautious...Sturdy built, nice looking...Enjoyed making Gujarati recipe Ghughara (sweet) with just a half spoon ghee for frying done by brushing.Zero or half spoon for french fries (still need practicing from myside).Made salted mathadi with just teaspoon oil.Please note oil while preparing dough is just enough, additionally you need only brushing in most of the items.Ask for pdf recipe book to WhatsApp number +91 88820 09988 their service center number. It's difficult to find number. Number should be on box itself along with bill/warranty card as insert.Easy to clean.Value for money....Cons: 1. Standard Accessories like stand for double layer cooking, pan, clippers to take out pan etc. should be included.2. Bracket for holding fryer at the back side above/below hot air escape went is given should be there as bringing fryer pan out without support when unit is hot is slightly awkward. However this is more like suggestion to improve for manufacturers as it's not available in other brands too.Go for it if you are health cautious...I am using American Micronic oven since last 2 years and happy with its sturdy quality so brought this fryer.Happy frying....",20 November 2019
worth every penny!,5.0,absolutely satisfied with the product. it is very easy to use and makes delightful oilfree snacks for the kids.,27 May 2019
"Sturdy appliance, Value for money",5.0,Spacious cooking basket.Good sturdy finish. The cooking basket seems sturdier than some other air fryers I had seen in showrooms.Quiet fan.Cooks well.Can easily recommend for anyone to buy it as it is reasonably priced too.Need to align properly when closing the basket. One always has to adjust the basket to push it in place.Otherwise seems like a good value for money product.,7 August 2019
Excellent Product / useful @kitchen,5.0,"Wonderful experience using this air fryer. Lot of oil free dishes can be made. We have tried Bati, Churma, pyaj-pakode, bread roll etc.",12 April 2018
No or less oil cooking,5.0,Just fried sum fryums without oil,1 March 2018
Good product,5.0,"Good product though not as convenient as frying but the overall taste is good, time is more than normal frying, I think not very satisfactory for samosa preparation... Overall a very good product and can be am additional purchase from health point of view.",4 July 2020
Not worth it!,1.0,"Better go buy a conventional oven it's better and bakes very well as well as fryer quite good but an air fryer cannot be used for backing at all, I have seen many people in YouTube than aur fryer can also bake but trust me on this it doesn't. It's better to buy a conventional oven which almost costs the same.",23 December 2019
Satisfied,5.0,Used for 6 months now. Nice product. Not easy to clean. It can lose inner coating. Don't use scrotch. The base should be cleaned only with dry cloth.,14 April 2019
Damaged product received,1.0,Received a replacement product with the same damage - timer not working and base not fitting into the top properly. Returning.,26 December 2017
Perfect addition to the kitchen,5.0,"Writing this review after a months usage and 4 weekends of baking/roasting. I must say that it is the must have for every kitchen:1. Unmonitored cooking2. Ease of use3. Ease of cleaningHave attached few photos from 4 weekends of cooking.... From potato fries, to kela chips, to prawns fry, to cake, to cookies, to pizza... Everything just came out WOW!!!!A 5 star product indeed",8 July 2020
Not as expected!!,2.0,1. Little bit damage in the product2. It's taking more than 40 mints to cook3. We can touch only the handle to open the tray once it is done cooking. Because other sides are very hot and it may burn your skin.4. Food turned very hard to eat.,6 February 2021
Not good even prima facie,1.0,Product  not in working condition even power and heating indixator not on. Vry disappointed,21 October 2017
Good and a fantastic product,5.0,"Have been using this for almost a year now, the product is really good works great and make awaeom tandoori chicken, french fries and most of the food which you want cook with less or no oil. I really recommend this",7 June 2020
A piece of junk,2.0,Just over two years and scant use and  it has stopped working. Wondering how to get it repaired.  Do not do not buy this piece of junk,28 February 2019
Good,4.0,Overall very good product .Food like tikka ad kebabs needs litte brushing of oil.Sticking of food at the bottom of the grill or on the foil is common if u use zero oil,21 August 2019
Excellent Air Fryer,5.0,"Effective and simple to use. When one gets accustomed to it,  its multifarious versatility is understood. Its a joy cooking with this Air Fryer. Full marks to it.",13 July 2020
Good Buy,5.0,"I love American Micronic as a brand. Oven + Toaster + Air Fryer. This was my 3rd buy. Solid build, good capacity for a family of 3 or 4. From taste perspective u need to add little bit of oil. Overall a nice buy. Happy Customer.",6 July 2020
Don't have one yet? Get it!,5.0,"Great gadget. Well made. Frying basket is large (8"" dia). Have tried making all the regular stuff, all comes out good. Really happy to be free of deep frying.",20 January 2020
Worth the Price,5.0,It's worth the cost. The product had lower temperature control rate at max of 250. But in most cooking video they show higher temperatures.Where as for a first time buyer of Air Fryer it's best recommended.,4 June 2020
Awesome product. Perfect taste.,5.0,Really useful product if you wish to enjoy oil less or lesser oily food. Flavours nearly like original. Happy eating!!!!!,22 April 2019
Five Stars,5.0,My wife using it for last three months with no issues.,26 January 2017
Awesome,5.0,"Your browser does not support HTML5 video.


   Omg this is best product I have seen...Loved it.Easy to use, easy to clean and we can cook yummy recipes without oil(Litti choki and mint chicken). Occupies less space.Will post further updates after using it for a month.",19 June 2020
super but need recipe book,5.0,the product is extremely good .it work fine but only disappointment is no  recipe book.apart from that every thing is nice.if you have recipe book send to my mail (rahulchowdarykaza@gmail.com),14 November 2016
Amazing product,5.0,"Bought is for 4800 in diwali deal and yes the product is amazing.Better than any expensive airfryer out there, just an outstanding machine.Blindly go for it",27 October 2019
I received the product with good packing and also the looking & material of product ...,5.0,I received the product with good packing and also the looking & material of product excellent. But still now I am not able to use it. I think it will be beyond my expectation .,2 February 2018
Good deal,4.0,"It's a good product at this price rangeIt's awesome for roasting , grilling & bakingIn fries case for some items (bread roll samosa,pkodi) it's nice. but  French fry is not goodOne more thing little bit practice required for prefect cooking.",10 November 2019
Average,3.0,I expected it to do a lot of work but it's limited to some specific roasting etc. only still it's not bad..,30 August 2020
Good product,5.0,It's good product for a family of four .Still.i can suggest to improve the built quality rest it's perfect,3 April 2021
Extremely satisfied!,5.0,The best number 1 thing i have Ever bought in my entire life!!! Can cook soooooo many things in it and with NO OIL!!!,23 October 2019
Five Stars,5.0,Worth every penny I have spent in buying this.,4 June 2018
"Good quality product, worth every penny ....",5.0,"A must have in ur kitchen , after using it for past 3 year with zero complaint ordered another one for my mother this time  !!!  No Maintainece ... been a lockdown saviour !!! Very happy with product for past three years and looking forward to try more product from American micronics range !!!",18 June 2020
Best product in this price range,5.0,"Easy to use And full value for money. Go for it, you will not disappoint.",19 January 2019
its fantastic,5.0,"Overall, its very likable, rugged and fault free besides being cheaper than its competitors.",8 July 2020
Very good product.,5.0,Must have mini oven. One option should be given to turn off/control the speed of fan.,9 November 2019
Awesome Product. other than the timer,5.0,Best Airfryer for The Price Quality is Good. Wish that the timer was Digital or something else the timer is not good. Other than that the product is very good,19 October 2019
Very easy to use with,5.0,Definitely product is very easy to use and value for money.Required very less amount of oil.,9 October 2019
OIL LESS JOURNEY,5.0,It is a unbelievably Great product to have with in modern age . My kids want to have more of French fries but as we used to give them less as it is fried with Oil.But now I don't have any issue as this product doesn't require to have oil on board.  ...,5 March 2020
Perfect,5.0,"What a product, awesome cooking without oil, perfect, it's been a yr we are using",27 June 2020
"Good, I wish there was a cuisine book along with the product.",4.0,"Everything is good, I hope accessories are available for future use. I wish there was a recipe book along with this, as otherwise we need to experiment and figure out by ourselves whats the optimum temperature and time for different dishes.",18 July 2020
Terrific Product,5.0,Good quality product. Have been using it for a month now. Really happy with it.,19 March 2021
Best gift!!,5.0,Life has become easier after this air fryer. O am a foodie but stayed away from fried stuff. Now i can enjoy everything.Cleaning is so easy that this is used nearly daily in mu house!!,19 June 2020
Must have in your kitchen,5.0,"Very happy with the product . Its wo=th every penny . Quality of product ,its functioning is quite impressive so far",16 October 2019
Very good Air fryer,4.0,"I like its ease to use and price as compared to other similar products. Only challenge is that it takes much longer time than I was expecting earlier. However, it might be the case with all other Air fryers. Overall good product for snack items.",13 November 2019
Dry fryer,5.0,So easy to use I use it most days and good value for money,21 September 2018
Good One,4.0,I ordered this one for my office. It works very effectively and i loved it. Thank you Amazon.,9 April 2020
Plastic,1.0,Pls dont but... smells of burnt plastic,4 December 2019
Handy gadget,5.0,Need to experiment a bit on timings and temperature settings but once u get the hang of it works very well.,4 September 2019
Worth to buy,5.0,Ease to handle and easy to useEasy to cleanEasy to cook,7 August 2020
Definitely a healthier option,4.0,It's easy to use and maintain. Best for a small batch of eatables at a time.,31 July 2020
Product is gud but 3.5 ltr is just not true its base is small compare to other brands,3.0,Product is gud but as mentioned 3.5 ltr its not totally true its base is small and hight may be big but in actula we need bucket with large base so that we can put more item,6 February 2021
Worth it. Good quality 👌,4.0,Oil free cooking.. chicken fish french fries for kids...,15 June 2020
Healthy cooking.... Will review after a few more uses,4.0,Only con I think is that the pan button is a bit loose so whenever I pull out the pan the basket comes out,11 March 2021
Safe to handle & easy to clean,4.0,Food gets cooked without oil or with very less oil. Food stays juicy within & crunchy from outside.. Safe to handle & easy to clean.Need to try out more dishes in this.,7 November 2016
American Micronic is the Best for Reduced Oil Consumption,5.0,My best buy ever.  I have a Philips Air Fryer and this is much easier to wash and clean and has a larger tray.Only issue is the black coating is coming off....,17 August 2020
Amazing  American Micronic,5.0,Amazing product which is better than most expensive brands having 4.5/5 * star ratings.,30 May 2020
Good quality product,5.0,"Best quality product in this price we loved it i used it several times it's fantastic, tastes good with or without brush with the oil on the food !!",25 April 2018
Useful item in the kitchen,5.0,Very economic design. So far we have tried to make 4 recipes. All have been tasty.,20 October 2019
Very good product. Value for money,5.0,A very good product. Large enough to cook a big batch of tasty foods in single turn. Very versatile as can b used for many recipies.  Easy to use and easy to clean.,25 May 2020
"Sturdy, faster",5.0,Does its work perfectly.Recipe book might have been included ...,11 June 2020
Genuine quality and price,5.0,Good product better than many branded ones,5 July 2020
Excellent value for money,5.0,"A sturdy, easy to use, useful product.",21 August 2020
Good product,4.0,Very good product for health benefits lovers.,18 July 2019
A great product,5.0,After having compared various brands I felt that this one fitted in with my requirements especially in terms of its capacity. It's absolute value for money.,29 October 2018
Poor quality product,1.0,"looks Like a American product but it’s very cheap and poor quality product when received physically, moreover it’s not returnable ,Don’t buy",1 March 2020
GOOD LOOKING,2.0,PRODUCT IS MODERATE,3 July 2019
not very useful,3.0,doesnt make crispy fries as advertised.,2 September 2019
GOOD PRODUCT,5.0,"GOOD SIZE, GOOD QUALITY AND EASY TO USE. JUST LOVE THIS AIR FRYER.",16 November 2019
"Nice, easy to use and clean",5.0,"Very easy to use and clean working fine, purchased in dec 2019, today is 250June 2020",25 July 2020
Great Product,4.0,Very good results. But wish they provide stainless steel basket instead of non stick,26 January 2021
Package very bad.,3.0,"Received air fryer openly(no package )it's OK, but not trial till now.",20 December 2018
Not good product,1.0,Worthless product,1 June 2020
Perfect product for your kitchen,5.0,The best product in this low price. using it for while no complaints no fault. Thank you Amazon.,25 January 2019
Good Choice.,4.0,"The basket, once put in the container, is a bit hard to fit in the air fryer. But otherwise, it is good.",17 September 2019
Good,4.0,Works good but quality of the plastic little disappointed,9 June 2018
great product,5.0,"Very very useful both in veg and non veg cases. capacity,size,quality great.",11 February 2020
Super Fryer,5.0,Just loved the product ..... chicken nuggets...fish fry... chicken tandoori fry ....all gets ready in just few minutes of time... really worth buying it..,25 August 2019
Good one!,5.0,Good one!,11 June 2020
Thanks,5.0,Completely satisfied with the product,22 February 2019
It really works 😊👍,5.0,Really good and use as daily ...,7 March 2019
Easy to use,5.0,Used it once to fry fish and was happy with the result. I believe we should try a few more times to get the right flavor and taste.,25 December 2019
Healthy and a Value addition to any ones kitchen,5.0,The fryer is really a healthy and a great addition to my kitchen,23 January 2021
Dissatisactory company response,1.0,There was a problem with heating time a d same reported to company too but to dismay repair of new purchase they considered instead of replacement,19 June 2020
Cool product,4.0,nice product,6 June 2020
Five Stars,5.0,Excellent product at good price,22 November 2017
"Worth its value in respect to price ,quality and it's  healthy",5.0,It's really worth its value n healthy food.,1 January 2021
Timer function not as expected,1.0,Timer is working without power on the device.This is not expect.,20 October 2019
Excellent product.,5.0,"Combaire with Philip, one of the best choice.",17 June 2019
No recipe book,3.0,No recipe book in it,21 December 2017
Good,5.0,Good,4 September 2020
Awesome,5.0,Good product.. used for a month now.. no problems faced.. loving it,8 December 2019
Quality product,4.0,"Can not compare with other products since this is the first time am using it.Am happy with the look, Quality and performance of the product.",4 June 2020
Excellent product,5.0,Used the air fryer for various recipes. Works as expected!,3 December 2018
Totally worth !!!,5.0,Amazon fast delivery ! It looks good ! Working really good ! Luvng it,3 January 2019
Nice,5.0,Good design.,5 December 2019
Good product for preparation of healthy snacks.,5.0,Good for healthy snacks.,4 November 2018
Great device,5.0,"I found this device very useful, with little oil you are able to cook wonderful dishes",30 November 2019
Worth the money,5.0,"Awesome for baking, grilling and fryingYou can enjoy tasty grilled chicken without oil",4 July 2020
Best quality,4.0,Nice and good quality product. Very easy to use.,23 December 2019
Timely delivery,5.0,Nice,15 November 2018
Best... Should buy,4.0,Best product... Best cooking,28 August 2019
Not upto the Mark,2.0,"Product working good. Not even a week, But numbers on the dial are going off.",6 June 2020
Four Stars,4.0,Good one at this price.,2 March 2018
Very reliable,5.0,Best product at reasonable price,7 November 2019
Damaged pieced recieved,1.0,"Can't comment on product, because damaged piece received.",9 June 2019
Value for money justify,5.0,It is durable,5 September 2019
Dont worry about fried items any more,5.0,"Good Product, I started preparing fried items without worrying about oil. Thumbs up",1 August 2020
Good product,5.0,Excellent,3 July 2019
Good product,5.0,Makes perfect tandoori chicken,18 June 2020
One Star,1.0,Instruction manual and warranty card not present in the product package,15 May 2018
Average product,3.0,"Don't expect too much, average product. Build quality is also not up to the level",1 June 2020
Nice. as expected,4.0,Nice.  as expected.  hope it works for a few years.,13 September 2017
Worst buy on amazon,1.0,The worst buy i had over amazon.. its very typical and yeah u cant literally cook everything in it... It's better to opt for an oven unless u wanna feed on burnt food...,12 March 2019
Fairly good,5.0,Useful item for home use. Preseves food values combined with without oit or with bery little oil.,27 March 2020
Nice,5.0,Nice but need helpful after sale service.,27 February 2019
Four Stars,4.0,Works as expected and can go for it.,15 May 2018
Five Stars,5.0,Perfect for frying!,19 December 2017
Excellent 👍,5.0,Very handy n easy to use,25 November 2019
Nice,4.0,Very good product,9 February 2018
Premium quality product at a great price.,5.0,"Good quality, great price",25 March 2018
Not sure,2.0,Not that good  not sure about new  brand,7 February 2021
Thumbs up,5.0,"Very good product. It's been a month, satisfied till now.",29 November 2016
American Air fryer is an excellent product in this price range.,5.0,Booklet for handling airfryyer is not detailed. Cooking menu is not provided.,28 June 2020
good and wonderful,5.0,enjoy BBQ with American Micronic- AMI-AF1-35CLDx- 3.5 Liters,6 January 2021
Best at the best price,5.0,"Best go for it value for money,done lot of research n now i am happy buyer😊",14 October 2019
American Micronic Air Fryer,5.0,Very simple and efficient equipment,4 December 2019
Awesome fryer at this price,5.0,I loved it. Worth the money,24 August 2017
Worthy product,4.0,Lesser use of oil and ease of use.,18 August 2019
Value for money,5.0,Awesome product made healthy cooking really easy,3 February 2019
Good,4.0,Good product,12 October 2018
I received a defective product,1.0,I received a damaged product. Waiting for it to be replaced,23 May 2020
Five Stars,5.0,A good product. Capacity is sufficient. Worth a buy for the price quoted.,21 November 2016
Good Product,5.0,Totally satisfied after using for more than 3 months.,13 February 2018
Five Stars,5.0,product is delivered one day before and working perfectly.worth it to go for this product,30 July 2017
Five Stars,5.0,"Best buy, useful,",23 May 2018
Value for money,5.0,Good product,3 March 2020
Four Stars,4.0,Very nice product for deep fry we tried french fries and chicken taste also good,15 April 2018
Product Quality Issue,1.0,Product was damaged in transit. Plastic quality seems an issue,25 December 2018
Four Stars,4.0,The product is very good and is user friendly. Thank you for one maintain the quality.,5 June 2017
Good product,4.0,It is worth spending on this product.,9 November 2020
Five Stars,5.0,Go blindly for it,22 October 2016
👍,5.0,",👍😋",2 March 2020
Manufacturer should provide exhaustive booklet on various cooking items.,4.0,"Easy to use, simple to clean, time saving.",24 March 2019
Best Air fryer,4.0,Oven is comparatively better and versatile,19 March 2019
Recommended!,5.0,A product better than Philips Air fryer.,28 April 2019
Good Air Fryers,5.0,So far best air fryers we ever used.,12 May 2019
High Quality Finish & Practical Digital Controls,5.0,Woderful Product. Fully recommended,5 March 2021
Not working,4.0,Not working,30 August 2020
Good product,2.0,Good,26 March 2019
Easy to use with very less oil,4.0,"Easy to use,but cleaning is a bit hard",25 January 2021
Nice product,5.0,Very useful and gets the job done very fast,12 May 2019
Overall Good,5.0,Overall Good and easy to Use,16 June 2019
Healthy gadget,5.0,Excellent product Price is great I found no issues in using this product Will definitely recommend,2 November 2015
Very good product,5.0,It's awesome,30 July 2019
Excellent,5.0,Good,6 July 2019
Easy to use,5.0,Very good air fryer,28 March 2019
Four Stars,4.0,"The product is good, however the Tray does not fit properly",2 December 2017
Easy to use and value for money...,5.0,Loved it...,2 October 2019
Xlent product.... Must buy,5.0,Xlent product...... Must buy......,9 October 2019
Must buy for people wanting healthy food,5.0,Fantastic product. Easy to use,7 February 2019
Just wowwww .......must buy,5.0,Very very very useful,25 July 2020
Four Stars,4.0,Very good product,18 August 2017
Four Stars,4.0,good product,2 May 2018
Great product,4.0,It is worth buying,28 January 2019
Easy to usr,4.0,I like it,17 March 2019
Awesomeness,5.0,I love the way it saves my time,10 February 2019
Awesome for foodies,5.0,Its awesome for foodies,29 July 2020
Absolutely fantastic.,5.0,No issues whatsoever. Quick and easy to use,25 March 2017
Buyingwort,4.0,"Good product, spacious",13 January 2020
American Micronic,4.0,Good product.Only concern is about spare and service,13 October 2017
Good Design,5.0,A bit heavy!,7 March 2019
Must buy,5.0,Very useful,27 March 2019
Five Stars,5.0,Awesome product..Full value for money....,19 February 2018
7⭐️,5.0,Awesome product. Food is very crisp and tasty. Love it.,15 February 2018
Drastically reduces oil consumption.,5.0,Wonderful product.,18 March 2019
Product is good  Amazon service is very good,5.0,I liked but size is small,19 February 2021
Nice,5.0,Super Product 👌,17 March 2019
Great kitchen aid,5.0,Very nice air fryer...chicken comes out well 'fried' but moist inside...,13 April 2016
Five Stars,5.0,Value for money. Works as expected.,2 December 2017
Four Stars,4.0,EVERYTHING IS GOOD BUT THERE SHOULD HACE BEEN INDICATER LIGHT FOR TIMER AND TEMPRATURE KNOB,4 December 2015
Value for money,4.0,Good product,28 July 2019
Damaged product,1.0,Damaged completely...,29 June 2020
Love it,5.0,Worth spending,15 June 2020
Nice product,4.0,Good,1 February 2021
Ms,4.0,Easy to use,8 December 2019
Five Stars,5.0,need recipe book badly!,29 November 2015
Very useful,5.0,Liked it,14 July 2019
Best at beast!!!,5.0,A perfect air fryer by American Micronic!!!!!!!!!!,3 January 2017
Five Stars,5.0,Very good and useful product.,28 November 2015
Good,4.0,Good,26 May 2019
Five Stars,5.0,Nice product...,28 February 2017
Great product and worth the price,5.0,Nothing,18 July 2019
Four Stars,4.0,It’s a great product delivered on time,9 October 2017
Four Stars,4.0,Very giod product... But uses a lot if electricity and takes long to cook.,24 November 2015
Super.,5.0,Really good product. Finally ordered a 3pcs for friends and family 😊,10 March 2018
Five Stars,5.0,Very good product,9 December 2017
Easy to use and very efficient,5.0,Easy to use and very efficient,26 January 2019
Five Stars,5.0,Wonderful  product,31 October 2015
Five Stars,5.0,"This is a good product in this price, and working well",10 December 2015
Five Stars,5.0,International standard product.Also value for money.,29 November 2015
Nice,5.0,Nice,3 March 2020
