title,rating,body,date
Recipe book and warranty card found missing.,4.0,Recipe book and warranty card found missing in the box..please arrange to deliver to my address since it is a part of complete package.Kindly resolve the issue at the earliest.A line of confirmation in this regard will be highly appreciated.Looking forward for a favourable response.,20 August 2020
Good Product,4.0,"The product is a must in every household, happy with the purchase. It's only drawback is the cleaning process; as the food tends to stick to the grill and it becomes difficult to clean.",5 September 2020
Brilliant,5.0,"Reduces 90% fat and 75% guilt.Convenient and useful.The hearing time and preparation time seems a little too much, with 15-20 minutes preheat time and an equal food preparation time, but it’s worth it. Everything is so crisp and well made.",21 March 2021
Test is best but not par with the price,4.0,1. Inner space is very less as compare to oven2. Time consuming3. Less fat upto 90 % how this formulated . What is the base for that.4. This product tagged Made in china came know after purchasing,3 December 2020
very good model,5.0,"The product is very good. However, we could not find the Operational manual Book and Recipe Book inside the box.Please arrange to send them at the earliest.",4 November 2020
Very happy with the product,5.0,"Your browser does not support HTML5 video.


   Very happy with the product.. It is very useful. Very easy to use. 😍",23 February 2021
Great product but cleaning the basket is a bit problematic,4.0,"It's a good product and works well. However, cleaning food remains off the basket edges and corners is a bit problematic.",7 March 2021
No recipe book or proper instructions with the book..,4.0,No recipe book with this airfryer.Such an expensive item should have a proper manual and step by step instructions to use the airfryer.,1 April 2021
It's just OK,5.0,"The product is really good, but it's not been used as a daily product, you have vary less things that you can make in it mostely frozen snacks .If you can go for cheaper options they are all the same .",2 February 2021
Trust branded more more at philips,5.0,Philips what write coment always this brand i think all product its awasome....this product its amazing,21 October 2020
Good product at reasonable price,4.0,The product is working as per expectations but the point is that this product is not made in India.,29 October 2020
Convenient and healthy.,4.0,It is easy to operate with virtually no technology. Boneless chicken can be cooked in 15 mins at 200 degree.,11 December 2020
Good healthy food,4.0,Pros:Good healthy foodEasy to useCons:The manual timer is a bit loose and difficult for precise setting.,9 December 2020
Good quality. Less oil consumption.,4.0,"Good quality. Less oil consumption. Easy to use. Only there in no on off indication. You cannot not stop timer in the middle, you have to switch off main supply to stop in the middle of cooking",13 March 2021
Good product,5.0,Product is good but some cleaning brush could have been given,19 January 2021
Works as expected,4.0,Works as expected so happy for the product but decreasing 1 star since the handle was broken when it was delivered and reading other reviews i did not feel like replacing it.So this is bad packaging or amazon delivered me faulty product by mistake.,4 October 2020
Very good product,5.0,Wanted to eat gril item but with less oil then go ahead for this product. Time saving plus you will get expected aroma of the food.,4 December 2020
Happy to buy,5.0,It is the product as always.. by philips.. user friendly. Very easy to clean and handle.,11 November 2020
Good product,5.0,"Works fine, easy to operate, great product to cook healthy oil free meal. But I didn’t receive the recipe book as mentioned the product description.",27 September 2020
Good product 👍🏻,4.0,"Product is good and very clean, no damage and this is the pic of first item made in it.(Could anyone help with how to fry fyumus in it?) The product was good",30 January 2021
Better to buy in shop not in amazon,4.0,There is no air fryer basket steel lid.There is no philips catalogue nor recipe book.Dont buy online,23 January 2021
wonderful. healthier cooking options. very easy to handle.,5.0,"cooks meat ,fish, chicken very fast and easy to operate. time saving and finally maintains the taste.",24 November 2020
Good,5.0,"After one month of usage, I am happy with the product. Good for oil free cooking.",2 January 2021
Healthy...,5.0,"And Tasty. Easy to use. Real, new food possibilities for expanding the variety of food at home.",8 November 2020
Very good and must buy for health,5.0,Fantastic product. you can enjoy your snacks without oil. My children's are loving it.,1 August 2020
Good,4.0,"Product was good overall. Good taste, almost no oil, just like eating fried food. But the packaging by Amazon was bad. Everything seemed torn. Disappointed in the packaging.",11 November 2020
Making customers fool as its origin is China although Phillips is a Netherlands company,4.0,"Product is good but made in China, this is my hated ciuntry and Amazon is selling this product although i have purchased seeing the Phillips brand name",25 October 2020
Easy oil free frier,4.0,Digital panel for temp and time would have been better in all models,24 January 2021
Very useful and easy,5.0,"Very happy with the airfrier, easy to use and can make cake as well in quick time than a convection",17 March 2021
Delivery packaging,4.0,A few fins near the exhaust vent were broken. But I didn't return as it was trivial and the rest was the device was pristine,19 December 2020
Easy to Use with no mess,4.0,One of the nice product I have bought from Amazon. Simple straight forward method without any mess of oil and frying pan.,25 November 2020
A good product,4.0,"A good aid to cook without much oil. Since it is only heated air, it gives very hygienic and healthy dish and ideal for those who have to use little oil in their food for health reasons.",30 January 2021
NO RECIPE BOOK WITH THE PRODUCT,4.0,Have not received the recipe book. Please send it to me.,27 June 2020
A must-have kitchen appliance,5.0,"I cooked a lot of items without oil and their taste was better than that,when I used gas stove.The food I cooked using air fryer was more healthy than that of gas stove",2 November 2020
Go for it,5.0,Its been 60 days since we got it and it hasn't been a day when I haven't used itIn love with it,4 January 2021
Worth the price.,5.0,Must for health conscious people.,6 September 2020
Quality airfryer,5.0,"Works well. ,Less space for cooking .",5 March 2021
"Good product :),  cook book missing :(",4.0,Good and useful product.In the included component section of the product it was mentioned that cook book is in. But product recevied didn't have it.,25 September 2020
Good product.,4.0,"I bought this last month. Not used much. But have tried fries, chucken n fish fry. They turned out crisp n good. And most impt, it is stress free.",3 October 2020
Very poor customer service for this product,5.0,"Model was delivered without operation manual, cook book and warranty cardLooks like somebody had returned after purchase and kept the documents with himself",24 October 2020
Very good,5.0,Very good,4 March 2021
Does what it says,5.0,Works well like all other air fryers. Sturdy and looks like it's  been built tough. Does what it says. Consuming less oil now.,7 October 2020
Recipes,4.0,Wish there were recipes,12 January 2021
Awesome product,5.0,It cooks well with zero oil.,31 January 2021
Good product go for it.,4.0,Philips I love you bro. Good product go for it.,27 December 2020
Must have product at home,5.0,"Must have product at home. I use it on a daily basis to heat up breads, cook frozen food and even serve hot roti and Paratha.",12 September 2020
Good product,5.0,Easy to use,18 December 2020
Amazing,5.0,Great product.,9 December 2020
Excellent product,5.0,Excellent product..I received brand new one thank you so much for the seller...best product from Amazon,3 November 2020
Satisfied,5.0,Satisfied,30 December 2020
Must try,5.0,Too good...worth the money paid,10 November 2020
Good,5.0,Very good and very useful. Only downside is cleaning the wire mesh tray.,20 November 2020
Excellent,5.0,Awesome product.  Well packed. Go for it,13 February 2021
Excellent buy,5.0,Excellent product and worth a buy for quick and healthy snacking,1 February 2021
Every house who can afford should have this.,5.0,"Very nice we at home enjoying making some good staf with very less oil, really worth buying",5 December 2020
Good product value for money,5.0,Very good productReally we are enjoying cooking in Philips air fryer. It's performance is far better than others I have seen,18 February 2021
Amazon,4.0,"Recipe book, Product manual & Warranty card not received with Box.",29 October 2020
Very good product,5.0,Nice product,4 March 2021
Best airfryer,5.0,"Very nice product from seller, strong package. The Airfryer is superb, cook alot of dishes in no time.",12 June 2020
Must have item in your kitchen,5.0,"Great product, nicely delivered by Amazon.Great taste, and healthy cooking 👍",1 February 2021
Recipe book not included,5.0,I did not get the recipe book for the Air fryer. All my friends got the book along with the fryer. Disappointed!!!,22 October 2020
That little tongue rules your body!,5.0,"Too good to avoid frying. Taste compromise worth it because, no oil used!",11 March 2021
Cooking book recipe was missing from the box and the box opened and resealed.,4.0,"Giving a 4 star becoz the cooking book recipe was missing in the box,and the box opened and resealed.For the product it is as advertised",2 November 2020
Good product,5.0,Nice item,23 December 2020
Perfect for health conscious people,5.0,Easy to use and maintain....snacking without frying in oil,16 August 2020
loved it!,5.0,Loved the air fryer. It was neatly packed. Used it two times and had no problem so far.,19 January 2021
Wow,5.0,Perfect mate for oil free cooking,27 November 2020
Manual guide is an important part of the product.,4.0,The product contained no user guide or manual or recipe book. It would be nice if the same could be forwarded to me.,23 January 2021
Excellent performance with almost no Oil usage and retaining same taste and crispness. Wonderful,5.0,I haven't received Receipe Book as promised.Please send this for happy using the Philips Air fryer,3 November 2020
Best for health freaks,4.0,Easy to cook side dishes without fat,9 November 2020
Nice,5.0,"Verry easy to use and good for ppl who care abt health,",16 February 2021
Must have gadget to please your wife,4.0,"Within 15 days I made mutton sheek kebab, bati for dalbati, french fries, fried mutton samosa and shami kebab.",7 November 2020
So easy to use and cooking results is great,5.0,"So easy and convenient and works really well for baking,roast,frying",6 April 2021
Best product,4.0,Good tool for kitchen,27 March 2021
Helpful,5.0,It’s helpful for to make non oily food,20 March 2021
No manual and food receipe not received along with the box,5.0,Surprisingly there was no operating Manual and operational details and also no receipt booklet,27 September 2020
Na,5.0,Na,12 November 2020
Love the Phillips Airfryer,5.0,"Nice a big , easy to use and clean as it goes in the dishwasher . Quick cooking !!",7 October 2020
For the health conscious foodie,5.0,"Time consuming,plus point : does not use much oil",9 January 2021
Philips Air dryer,5.0,Great product,27 February 2021
I think instructions r very important,5.0,Only the instructions and recipe booklet was not sent accrossVery disappointing,21 November 2020
Very effective,4.0,I found itm very efective and useful.,15 October 2020
Good design and aesthetics,5.0,Easy to operate. User friendly.,3 March 2021
Nice to have,4.0,It takes time to get used to this product. Demo by a professional is a must.,30 March 2021
Philips HD 9218/53 airfryer,4.0,I have not received user manual & receipe book alongwith Philips HD 9218/53 airfryer,4 September 2020
Awesome Product,5.0,This is an amazing product. Must buy.,11 November 2020
Worth of buying,5.0,"Easy to use, serve the purpose.",27 November 2020
"Convenient for oil free and hygienic frying of veg, non-veg foods",5.0,Easy to use and clean,27 August 2020
It would have been great if I got recipe book with this,4.0,I did not receive recipe book with this product which was mentioned before,24 October 2020
Very goof,5.0,It was very good and delivery was fast,19 June 2020
Awesome,5.0,Received it today.. tried french fries.. loved it..,20 October 2020
Prompt delivery,5.0,There is no user manual and recipe book in the box,28 December 2020
Must buy 👍👍,5.0,We used this product for making fries and it turned out very well.,3 November 2020
Good product.,4.0,If would be easier to clean if the grill could be removed.,30 November 2020
Easy to use,5.0,Too good to be used .. better than other,6 February 2021
So hassle free,5.0,I liked this makes your oily food in typically baked one ..,11 December 2020
Bill and warranty card missing,4.0,"Did not find bill, warranty card and recipe book in the package.",7 July 2020
Quality is good but no invice,4.0,This item was breakage,16 July 2020
Worth Buying,4.0,Good and useful product,31 October 2020
A must have,5.0,It's a good product and quite handy,14 October 2020
"Very useful , time saving air frayer",4.0,Very eaisyto use..,5 January 2021
Not received warranty card &recipe book,4.0,Not received warranty card &recipe book,30 October 2020
Recipe book missing,5.0,Recipe book is missing,26 October 2020
Best thing in the world,5.0,Best best best,17 March 2021
Awesome Air fryer,5.0,Best product if you want to eat oil free food,15 March 2021
Please send the recipe book which is said to be with the product,4.0,Recipe book is missing from the box,16 August 2020
Awsm Airfryer,5.0,Working as expected. Great Product,7 March 2021
Omg,5.0,Wow,1 November 2020
Awseme,5.0,very good product,22 February 2021
Awesome...,4.0,Nice product very usefull...,17 March 2021
Easy to use product,5.0,Good product which is easy to use.,6 November 2020
Value for money.,5.0,Excellent product!,26 October 2020
recipe book missing,4.0,recipe book missing,30 June 2020
must buy,5.0,its great product,28 September 2020
👍,4.0,Good,30 October 2020
Good,5.0,Good,25 October 2020
Excellent product,5.0,Love it,13 February 2021
Good product,5.0,Good product,11 August 2020
Good one,5.0,Good product,29 November 2020
good product,4.0,very useful,7 October 2020
Easy to use,5.0,Cooking,9 March 2021
Good product,5.0,Good product,7 December 2020
Ease of use,4.0,Good,24 February 2021
Ok.. good product,4.0,Good,1 July 2020
Good product,5.0,"Good product for daily cooking, with minimum oil and tasty food, easy to maintain.I have frequently used for fish fries. Baking and roasting turns out good.",26 September 2020
A friend to your heart,5.0,"A must have for health conscious people. Easy to use. Durable. Looks good. Energy saver. Easy to handle, easy to clean",9 February 2021
Excellent,5.0,I loved itEasy to cook no oil foodFrench fries etcCrispy it turnsNice buy try it .,18 October 2020
Incomplete,5.0,"No Instruction Manual received .. please sendOtherwise, a useful product which can be handled by young children also .",29 November 2020
Good Product,5.0,"Good Product for a small family. Easy to use easy to clean, does not absorb oil. Complete Healthy food making",10 February 2021
Great product,5.0,Enjoy eating French fries which r cooked with very little oilEasy to use easy to clean.. love the profuct,22 November 2020
Great product,5.0,"This is great product, worth the spends",9 June 2020
BEST - NO DOUBT AT ALL,4.0,"Got this airfryer for lowest prince in Amazon - Thanks a lot to Amazon for that.SELLER FORGOT TO SEND RECIPE BOOK. DOWNLOADED IT FROM NET. SO ONE STAR LESS.AMUL FRENCHFRIES, THOUGH COSTLY, CAME OUT BEST. SAMOSA using home made masala and costly  SwitzSheets was quite good. Groundnuts - ok. Will try veg kebabs & other indian snacks soon.VERY SIMPLE TO USE.WORKS PERFECTLY. VERY SATISFIED WITH PHILIPS AIR FRYER.POINTS BEFORE YOUR BUYING DECISION:==================================1. BIG BRANDS FROM INDIA ALSO SELL MADE IN CHINA ITEMS. BEWARE OF THAT.2. DO NOT BE LURED BY NON-STANDARD AIRFRYER WITH LED BUTTONS AND LED SCREEN AND TOUCH SCREEN INTERFACE. I BOUGHT A WASHING MACHINE BASED ON IT AND FOR RS.15000/- DAMN MACHINE WORKED TWICE. LATER ONLY LED SCREEN GLOWED SUPERBLY. NO WASHING MECHANISM. REPAIR MECHANIC SAID IT'S WORTHLESS I POINTED TO REPAIR MECHANIC THAT LED GLOWS SUPERBLY AND DIGITAL DISPLAY SHOWS THE SELECTION  CLEARLY. SO PERHAPS A MINOR PROBLEM BECAUSE PRODUCT WAS NEW. REPAIR MECHANIC'S REPLY WAS, SO DOES THE LED OF A 500 rs mobile phone or 50 rs electronic watch. But can they do the washing?'THEN I BOUGHT A BRANDED MICROWAVE OVEN. USED IT ONLY FOR A YEAR - DAMAGED BECAUSE LED PANEL GOT DAMAGED AND CHANGING IT WOLD COST JUST Rs. 2500/- Well, COST OF NEW BRANDED MICROWAVE IS 5000/-MORAL - DIFFERENCE IS USABILITY AND USER EXPERIENCE.GO FOR RELIABLE USABILITY.SLICK LED PANELS AND LED LIGHTS AND COOL BUTTONS ARE FOR USER EXPERIENCE. TOTALLY WORTHLESS.......SOMEDAY TOP INDIAN BRAND LIKE BAJAJ OR PRESTIGE MAY RELEASE AN AIRFRIER AS GOOD AS PHILPS. UNTIL THEN, THIS IS YOUR BEST CHOICE.....",25 October 2020
Outstanding Product,5.0,"Dont miss this if you are: health conscious, low on oil,  short on time, fry crazy, low on tech etc.Kids love French fries, wedges, chicken legs and wings.Its the undisputed Queen of unmonitored cooking.Who can say no to fry items with no or less oil.Reason to pick only Philips: The first time got delivered got a broken handle and with out an amazon wrap.The buyer promptly replaced it and collected the broken one; no questions asked. There are so many air friers on amazon which comes for half the prize. Philips always the best in value and quality.",3 October 2020
"This is the best model, go for it",5.0,"Product: RecommendedNothing is better than this model on the shelves right now. Its worth the spend, just buy it and experience.-Need recipes? search on Internet and you can do so much with this device. I love frying potatoes and its a game changer for reheating fried foods too. It adds crunch, removes extra oil and gives a texture.- Packaging and transit: Flawless and fast, loved how it arrived- Looks: looks like a beautiful beast in kitchen- What can be better? The timer doesn’t unwind manually, ie if you set it for 10mins, but needed only 5...only solution is to unplug after 5.",17 October 2020
Made in China,5.0,Very useful product made with good technology.Only problem is that it is made in china and all box had inscriptions written in Chinese language. So felt quite cheated in buying an international MNC brand which is made in China🤪,19 June 2020
Very useful equipment in the kitchen.,5.0,"I have been using an air fryer for some time (different brand).I made Salmon and BBQ Chicken on the first day. Both came out very well. A lot of cooking instructions are available on Youtube for free.The only issue is, in India we get only smaller size Air Fryers a bigger family might have limitation on the quantity of food that can be made at a time.",17 August 2020
Needs lot of training,4.0,"It was first time we bought an air fryer. I wish it comes with a cookery book for Indian dishes.  The small chit which comes as help book is hardly of any use.  Watching YouTube videos you have to experiment since not all use same model / settings.When we used it to fry ready to cook kebabs, it worked well . However making poori , we are yet to crack the formula",16 December 2020
How do you get the add ons with out paying an arm and a leg,5.0,Bought as a Dewali gift for my mother ... great purchase only that the accessories are almost as expensive as the fryer it’s self .. I have noted that abroad people get muffin cups and other baking accessories with their purchases,10 December 2020
Takes quite a bit of space in an apartment kitchen,4.0,"If you are just going to use it to prepare small quantities, it is not worth it, cost-wise and cleaning-wise. Use for large quantities of food or 2-3 hours of usage. Good for reducing the amount of oil consumed.",5 December 2020
Very convenient Air Fryer from Philips,5.0,"This Air Fryer from Philips is very sturdy, minimum buttons/knobs(everything is electro-mechanical) and super easy to use.  Could air-fry Veg fingers in less than 10 mins.",24 November 2020
Great for snacks,4.0,Great for non vegetarian and satisfactory for vegetarian dishes. In conclusion thumbs up,6 September 2020
Great Product,5.0,Great product and happy with the performance so far.,11 January 2021
Buy the cooking accessories ..they help !,5.0,Wish I had bought one earlier,4 December 2020
Great product,5.0,Excellent product with outstanding performance,19 July 2020
Superb,5.0,Just superb,5 July 2020
Amazing product,5.0,I love this itemIt is very easy to useVery useful.....must in every kitchen👍👍,13 October 2020
Works very well - Mom loves it,5.0,I bought this for my mom. She loves it :) She is very happy with the product and cooked cottage cheese the other day and chicken as well.,8 July 2020
Healthier option to deep frying,5.0,Easy to use.,26 December 2020
Oil saver,5.0,Very handy,8 November 2020
Philip’s Air Fryer,4.0,"Good Product, easy to use to clean.",1 March 2021
Good product,5.0,"Your browser does not support HTML5 video.


   Easy to use and the food comes out good.",27 March 2021
